id;uid;code;created;updated;name;description;mindaysfromstart;repeatable;executiondatelabel;duedatelabel;autogenerateevent;validationstrategy;blockentryform;openafterenrollment;generatedbyenrollmentdate;sortorder;hide_due_date;featuretype;enableuserassignment;enableteamassignment;inactive
1;Cotton Leon;Soap Enhanced Dominican;2022-11-20T09:22:33;2022-11-20T04:43:48;solid quantify;calculate;21821;false;Burundi National;Samoa;false;ON_UPDATE_AND_INSERT;true;false;false;40486;false;SYMBOL;true;false;false
2;Right-sized;drive compressing;2022-11-20T19:21:04;2022-11-20T14:45:58;systems;Product;82818;false;Oregon Director;Brand Baht;true;ON_UPDATE_AND_INSERT;false;true;true;35357;true;NONE;true;false;true
3;ubiquitous ;program Nevada;2022-11-20T00:04:57;2022-11-20T14:15:17;Health interface circuit;Rustic silver Loan;48707;false;Spur Orchestrator up;index access;false;ON_UPDATE_AND_INSERT;true;false;false;28878;false;POINT;true;false;false
4;Investor;JBOD Engineer;2022-11-20T12:40:51;2022-11-20T15:25:41;Sleek Skyway defect;Orchestrator hierarchy vertical;36718;true;Soft primary;Account transmit Supervisor;false;ON_UPDATE_AND_INSERT;false;false;false;26570;true;POLYGON;false;true;false
5;Incredible;Forward Small;2022-11-20T19:32:46;2022-11-20T08:55:10;ROI optical;1080p bleeding-edge Account;95500;false;withdrawal invoice card;protocol Center Legacy;true;ON_UPDATE_AND_INSERT;false;false;false;99299;false;NONE;true;true;false
6;Account;Assistant parallelism Cotton;2022-11-20T15:21:20;2022-11-20T03:06:17;calculate National engineer;distributed quantify;95236;true;Marketing recontextualize;Senior synthesizing seize;false;ON_UPDATE_AND_INSERT;true;true;false;81314;false;MULTI_POLYGON;true;false;false
7;Licensed Un;Berkshire index;2022-11-20T14:02:57;2022-11-20T14:24:01;Pants;algorithm;82944;true;California XSS drive;Lesotho;true;ON_UPDATE_AND_INSERT;true;true;true;49285;true;MULTI_POLYGON;false;true;false
8;Territories;experiences;2022-11-20T04:55:57;2022-11-20T07:02:13;Shoes Practical;bypass;37471;true;haptic withdrawal calculate;Polarised;true;ON_UPDATE_AND_INSERT;true;true;false;82000;true;POINT;false;false;false
9;Producer 24;Bermuda;2022-11-20T02:34:04;2022-11-20T11:22:02;Practical Burundi synergize;Guinea;26485;false;program capacity Berkshire;maroon Cambridgeshire;true;ON_UPDATE_AND_INSERT;true;true;true;74057;false;NONE;false;true;false
10;Manager pix;Hat;2022-11-20T06:58:34;2022-11-20T16:37:17;matrices;Florida;39620;false;copying Eritrea;Incredible;true;ON_COMPLETE;true;true;true;35383;true;MULTI_POLYGON;true;true;true
