id;uid;code;name;created;updated;description;bidirectional;fromtoname;tofromname;referral
1;quantify Co;Quetzal radical;bypass contingency Radial;2022-11-20T05:47:54;2022-11-20T03:26:28;wireless;true;experiences Global Practical;Down-sized Handcrafted Shirt;false
2;dedicated S;Cheese Multi-layered;utilize Granite;2022-11-20T16:24:48;2022-11-20T18:28:23;compress;false;pixel;state Tala recontextualize;true
3;access;Tasty;Industrial open-source;2022-11-20T14:22:39;2022-11-20T16:05:27;synthesize Underpass;false;Factors Montana;Handmade hack;false
4;Loan;Identity;redundant;2022-11-20T01:09:42;2022-11-20T14:18:33;overriding Legacy haptic;false;Ergonomic navigate Rufiyaa;1080p olive;false
5;Generic Arc;Cotton challenge Credit;Steel haptic override;2022-11-20T07:46:13;2022-11-20T03:53:24;neural;false;black Shirt;TCP Awesome;true
6;withdrawal ;web-enabled;e-commerce deposit;2022-11-20T07:41:37;2022-11-20T02:20:12;Corporate;true;Ariary;Credit;true
7;Rico Barbad;Public-key overriding Senior;Keyboard;2022-11-20T15:29:50;2022-11-20T19:18:47;Keyboard;true;Practical;navigating Locks;false
8;parse Brand;Soft;metrics;2022-11-20T09:53:22;2022-11-20T08:17:05;Mount Unbranded Cambodia;true;Generic Kina River;Senior;false
9;Armenia nav;Analyst Fantastic;Home communities;2022-11-20T02:00:02;2022-11-19T23:30:20;Infrastructure;false;Dale structure;extranet communities;false
10;motivating;Israel Coves;Borders calculating;2022-11-20T05:21:26;2022-11-19T21:08:33;Operative;true;reboot;invoice;true
