id,uid,code,name,shortname,created,updated,path,hierarchylevel,openingdate,comment,url,contactperson,address,email,phonenumber,organisationunittype
11,VILLUID11,10011,قرية 11,قرية 11,2022-09-16T18:48:49,2022-09-17T00:15:03,applications Executive,6,2010-10-18,background,https://faustino.name,Avon copying Wyoming,mobile,Abdul87@gmail.com,primary Kids state,SUB_VILLAGE
12,VILLUID12,10012,قرية 12,قرية 12,2022-09-16T18:51:36,2022-09-16T18:48:43,Home,6,2010-10-19,Pants Cotton deposit,https://lucas.info,emulation,Island bluetooth,Carleton.Schulist@hotmail.com,Home,SUB_VILLAGE
13,VILLUID13,10013,قرية 13,قرية 13,2022-09-17T10:54:51,2022-09-16T21:29:41,Isle GB,6,2010-10-20,project intermediate,http://karli.net,withdrawal local Program,innovative Dollar Realigned,Kameron_Hoppe81@gmail.com,overriding Pennsylvania GB,SUB_VILLAGE
14,VILLUID14,10014,قرية 14,قرية 14,2022-09-17T12:55:24,2022-09-17T02:20:13,Investor Rhode PCI,6,2010-10-21,infrastructures,http://jaeden.biz,Strategist online stable,Future-proofed generate,Jo.Mante@gmail.com,Tuna Locks,SUB_VILLAGE
15,VILLUID15,10015,قرية 15,قرية 15,2022-09-17T00:50:55,2022-09-16T18:57:49,Cotton pixel,6,2010-10-22,Borders,https://maximo.name,interfaces success,Internal,Westley_Swift88@yahoo.com,Pizza connect Cheese,SUB_VILLAGE
16,VILLUID16,10016,قرية 16,قرية 16,2022-09-17T00:50:55,2022-09-16T18:57:49,Cotton pixel,6,2010-10-23,Borders,https://maximo.name,interfaces success,Internal,Westley_Swift88@yahoo.com,Pizza connect Cheese,SUB_VILLAGE
17,VILLUID17,10017,قرية 17,قرية 17,2022-09-17T00:50:55,2022-09-16T18:57:49,Cotton pixel,6,2010-10-24,Borders,https://maximo.name,interfaces success,Internal,Westley_Swift88@yahoo.com,Pizza connect Cheese,SUB_VILLAGE
18,VILLUID18,10018,قرية 18,قرية 18,2022-09-17T00:50:55,2022-09-16T18:57:49,Cotton pixel,6,2010-10-25,Borders,https://maximo.name,interfaces success,Internal,Westley_Swift88@yahoo.com,Pizza connect Cheese,SUB_VILLAGE
19,VILLUID19,10019,قرية 19,قرية 19,2022-09-17T00:50:55,2022-09-16T18:57:49,Cotton pixel,6,2010-10-26,Borders,https://maximo.name,interfaces success,Internal,Westley_Swift88@yahoo.com,Pizza connect Cheese,SUB_VILLAGE
20,VILLUID20,10020,قرية 20,قرية 20,2022-09-17T00:50:55,2022-09-16T18:57:49,Cotton pixel,6,2010-10-27,Borders,https://maximo.name,interfaces success,Internal,Westley_Swift88@yahoo.com,Pizza connect Cheese,SUB_VILLAGE
