id;encrypted_value;plainvalue;value;created;updated;storedby;trackedentityattributeid;trackedentityinstanceid
1;Switchable;Intranet;SMS open-source Refined;2022-11-20T13:00:11;2022-11-20T05:50:02;hack mint responsive;1;1
2;Incredible Multi-channelled real-time;networks Wooden programming;Avon Computer Auto;2022-11-20T04:40:45;2022-11-20T03:23:25;edge Planner;2;2
3;Granite;Fish;recontextualize generate;2022-11-20T10:19:18;2022-11-20T13:45:22;overriding innovate;3;3
4;Steel;Handmade indexing;Sterling back-end encompassing;2022-11-20T04:50:28;2022-11-19T21:51:27;Kwanza;4;4
5;Buckinghamshire National;24 Carolina;niches;2022-11-20T10:23:20;2022-11-19T22:11:46;Frozen;5;5
6;B2C;Orchestrator;Brand Licensed maroon;2022-11-20T08:06:51;2022-11-20T08:07:42;Robust Home;6;6
7;Pizza backing services;quantifying Texas;systematic RAM;2022-11-20T11:57:44;2022-11-20T16:21:50;wireless;7;7
8;Creative rich Account;Regional;SQL Ports;2022-11-20T19:07:52;2022-11-19T21:29:02;Station;8;8
9;copy blue Auto;Frozen Infrastructure;Operations application Cotton;2022-11-20T04:32:43;2022-11-19T21:40:55;overriding Balboa;9;9
10;Handmade Metical payment;Personal 3rd Loan;override Saint bricks-and-clicks;2022-11-20T14:55:56;2022-11-20T14:31:46;Incredible;10;10
