id;uid;code;created;updated;name;shortname;description;version;incidentdatelabel;type;displayincidentdate;onlyenrollonce;capturecoordinates;expirydays;completeeventsexpirydays;accesslevel;ignoreoverdueevents;selectenrollmentdatesinfuture;selectincidentdatesinfuture;featuretype;inactive;trackedentitytypeid
1;Tugrik Stee;District Data website;2022-11-20T03:24:07;2022-11-20T06:00:58;Down-sized;Steel grow;International benchmark;34768;Kids Sharable;WITH_REGISTRATION;true;false;false;85205;23174;CLOSED;true;false;true;MULTI_POLYGON;false;1
2;Plastic Sho;empower Bedfordshire cutting-edge;2022-11-20T05:08:49;2022-11-20T07:19:52;feed;Solutions;Steel;30161;Rupee Optimization;WITH_REGISTRATION;true;true;false;34206;48337;CLOSED;false;true;false;NONE;false;2
3;lavender;incubate structure virtual;2022-11-19T20:49:18;2022-11-20T09:21:57;Creative West indexing;TCP haptic eco-centric;Shoes;11104;Assistant deposit;WITHOUT_REGISTRATION;true;true;false;65180;82118;AUDITED;true;false;false;SYMBOL;false;3
4;Buckinghams;Harbors;2022-11-20T09:00:02;2022-11-20T04:30:16;Designer Chief Burundi;deposit Point;mint Program;57811;state Soft Markets;WITHOUT_REGISTRATION;true;false;false;99250;25726;OPEN;true;true;true;POLYGON;false;4
5;driver;connect;2022-11-20T15:01:26;2022-11-20T20:30:46;Account Rial iterate;reboot IB;Unbranded solutions Chips;69575;Fresh up;WITH_REGISTRATION;true;true;true;5093;20086;OPEN;false;true;false;POLYGON;false;5
6;lime Coordi;Administrator clear-thinking optimal;2022-11-20T11:56:22;2022-11-20T17:42:49;Polarised Granite Fresh;Rustic models Chips;Internal parse;66888;deploy Decentralized;WITHOUT_REGISTRATION;true;false;true;23969;8089;OPEN;false;true;true;POLYGON;true;6
7;solid innov;Handcrafted override Berkshire;2022-11-20T01:29:51;2022-11-20T15:22:37;matrix;Fantastic;Fantastic Global programming;18807;transmitting optimize;WITHOUT_REGISTRATION;false;true;true;15970;17962;OPEN;true;true;false;MULTI_POLYGON;true;7
8;invoice ala;Sudan visualize Borders;2022-11-20T20:06:06;2022-11-20T11:56:46;synergy index;program;Multi-layered Garden;13417;Computer Finland;WITH_REGISTRATION;true;false;false;84364;65033;OPEN;true;false;false;POLYGON;false;8
9;Chips Europ;Creative blue;2022-11-20T12:39:13;2022-11-20T02:25:50;array parsing full-range;SAS;Solutions Unbranded Fresh;76194;Human payment;WITHOUT_REGISTRATION;false;false;false;37766;80480;PROTECTED;true;false;true;POINT;false;9
10;budgetary S;hack optical Soft;2022-11-20T05:28:50;2022-11-20T01:25:15;De-engineered;Factors Center;array;3980;Cape blockchains Assistant;WITHOUT_REGISTRATION;true;false;true;95435;52742;CLOSED;false;true;false;POINT;true;10
