id;uid;code;created;updated;name;description;comments;rating;teamtype;inactive;activityid
1;Nigeria;Analyst;2022-11-20T06:34:47;2022-11-20T07:35:12;holistic;Indian Ball Devolved;Bedfordshire Account;41;B_NET_SUPERVISOR;false;1
2;cutting-edg;web-readiness Pennsylvania;2022-11-20T16:21:09;2022-11-20T07:27:13;Colombian;Rubber;Buckinghamshire invoice;6;CHV;false;2
3;product;Architect Technician;2022-11-20T12:49:34;2022-11-20T19:09:16;Salad back Pants;Steel;Bedfordshire;97;IRS_TEAM;true;3
4;support;mobile turquoise;2022-11-19T21:06:25;2022-11-20T05:04:36;International AI Branding;Polarised Account matrices;transmitting quantify;61;OR;false;4
5;interfaces ;Awesome HDD;2022-11-20T19:12:16;2022-11-20T04:20:39;calculate;5th Director;recontextualize;85;B_NET_TEAM;true;5
6;Wyoming Sav;Terrace;2022-11-20T01:56:13;2022-11-19T23:21:59;generation;Frozen Dollar Investment;Dakota;43;CHV;false;6
7;orchid;Marshall maximized forecast;2022-11-20T04:55:22;2022-11-20T09:29:58;Stravenue Strategist;Bridge;Branding Indiana;87;B_NET_TEAM;true;7
8;Manager car;Awesome Garden;2022-11-20T15:13:46;2022-11-20T17:06:20;Mouse Customer Generic;Principal;Checking;80;OR;false;8
9;quantify;Soap pixel;2022-11-20T13:22:18;2022-11-20T13:28:37;Function-based;copying Internal Berkshire;directional microchip;94;CHV;false;9
10;Universal c;revolutionary mint Electronics;2022-11-19T22:52:07;2022-11-20T01:43:07;Borders Refined payment;Concrete PNG Maine;interfaces Officer Practical;64;IRS_TEAM;false;10
