id;uid;code;created;updated;name;description;maxteicounttoreturn;allowauditlog;featuretype
1;PCI deposit;Internal migration e-business;2022-11-20T09:02:52;2022-11-20T14:38:17;Borders Frozen lavender;mobile Music experiences;53904;false;MULTI_POLYGON
2;Station Mis;analyzing parsing indexing;2022-11-20T15:17:25;2022-11-20T03:10:01;Computer Intuitive;model interactive Organic;6242;false;SYMBOL
3;Cotton;forecast GB back;2022-11-20T03:44:56;2022-11-20T13:24:49;magenta Shoes;feed help-desk;84823;false;MULTI_POLYGON
4;Borders for;online synthesizing executive;2022-11-20T04:55:03;2022-11-19T21:06:16;Games monitor compressing;calculating PNG Persistent;93112;true;SYMBOL
5;navigating ;Fully-configurable card;2022-11-20T04:59:53;2022-11-20T03:08:08;Wooden;Hat Keyboard;46356;true;POLYGON
6;facilitate ;Chicken Loan monitoring;2022-11-19T21:22:26;2022-11-20T14:24:44;unleash Chief;Islands back;93072;true;POLYGON
7;strategic B;Ville Integration;2022-11-20T04:00:58;2022-11-20T13:11:18;Account communities;Product;54360;false;NONE
8;Savings use;Internal Grocery system;2022-11-20T16:37:59;2022-11-20T12:12:33;payment Senior Towels;quantify Computer;11183;true;POINT
9;deliver mul;withdrawal;2022-11-20T15:22:44;2022-11-20T05:16:56;aggregate users;JBOD;74092;true;NONE
10;Arab Pennsy;Tasty vortals Cheese;2022-11-20T13:49:44;2022-11-19T20:47:33;Philippines methodical Functionality;microchip;38099;false;POINT
