id;uid;code;name;shortname;description;created;updated;hidden;apporder;inactive
1;contextuall;Table Micronesia;Center;payment utilize Account;Regional;2022-11-20T03:02:38;2022-11-20T10:32:18;false;32903;false
2;European Ju;Account;invoice optical;vortals revolutionary;Computer Supervisor;2022-11-20T02:45:44;2022-11-20T10:17:40;false;22527;false
3;invoice neu;Central;Buckinghamshire Keyboard;Oklahoma;Tennessee Direct Radial;2022-11-20T13:41:44;2022-11-20T15:52:10;true;25829;true
4;firewall AD;Up-sized Jewelery application;calculate back-end;program;input;2022-11-20T03:03:26;2022-11-20T13:54:12;false;5209;true
5;Refined;Buckinghamshire Bacon services;Nakfa Fiji;auxiliary payment Pakistan;Pants bluetooth Borders;2022-11-20T12:40:44;2022-11-19T22:04:21;true;49776;true
6;Plastic;lime;GB calculating;back-end;Cross-group compelling;2022-11-20T18:07:40;2022-11-20T07:34:09;false;30395;false
7;Turnpike So;teal e-services;International networks;Architect Metal;mission-critical connect JBOD;2022-11-20T14:07:28;2022-11-20T11:26:45;true;36150;false
8;mobile stra;eco-centric;blue;convergence firewall Refined;Haiti Handmade;2022-11-20T04:27:58;2022-11-20T16:57:11;false;11924;true
9;eyeballs ha;Digitized Home;Frozen GB invoice;CSS Computer;Investor invoice;2022-11-20T04:22:16;2022-11-20T11:56:52;false;71000;true
10;bottom-line;Wisconsin (customarily;Algerian Loan;Strategist seize Account;maroon;2022-11-20T14:32:45;2022-11-20T17:04:48;true;13438;false
