id;encrypted_value;plainvalue;value;modifiedby;created;updated;audittype;trackedentityattributeid;trackedentityinstanceid
1;portal Concrete;communities;Mississippi Steel invoice;Dynamic;2022-11-19T23:33:00;2022-11-19T22:15:39;READ;1;1
2;Bedfordshire Georgia;Barbados;Albania solutions;input auxiliary Mission;2022-11-20T08:48:12;2022-11-20T19:34:12;READ;2;2
3;Shoes (Chagos;Up-sized deposit;Heights;reboot;2022-11-19T22:10:59;2022-11-20T19:57:34;CREATE;3;3
4;compress;Shilling auxiliary Balanced;Grenada copy panel;Operations;2022-11-20T10:02:50;2022-11-20T05:35:32;UPDATE;4;4
5;Belgium back-end killer;Beauty Bacon;Shoes online;strategy initiative Corporate;2022-11-20T05:02:28;2022-11-20T11:34:30;DELETE;5;5
6;channels;Market;tertiary FTP Account;rich;2022-11-20T08:10:07;2022-11-20T12:58:43;CREATE;6;6
7;International;Parks;Chicken lavender vortals;Colorado Baby Configurable;2022-11-19T23:04:51;2022-11-20T02:42:58;CREATE;7;7
8;function parallelism Cheese;Chief Infrastructure cross-platform;relationships Bike;RAM HTTP;2022-11-20T12:45:11;2022-11-19T23:41:05;DELETE;8;8
9;Account connect Fish;deliver Implementation USB;Solutions global Monitored;index indexing;2022-11-20T15:26:22;2022-11-20T05:04:11;SEARCH;9;9
10;Lane Myanmar;Consultant grey Mississippi;Iran Shirt lime;Convertible Associate customized;2022-11-20T02:29:20;2022-11-20T10:26:16;UPDATE;10;10
